timestamp,location,weather_condition,voltage_phase_a,voltage_phase_b,voltage_phase_c,current_phase_a,current_phase_b,current_phase_c,frequency_hz,power_factor,temperature_celsius,humidity_percent,wind_speed_kmh,ground_resistance_ohm,line_impedance_ohm,harmonic_distortion_percent,load_percentage,fault_type,fault_severity,maintenance_required
2022-01-01 01:37:00,Section_3,Clear,11170.07,10914.61,10975.04,93.567,102.797,98.664,50.158,0.959,26.9,71.4,12.2,309.44,4.701,2.61,91.6,No Fault,None,0
2022-01-01 02:06:00,Section_19,Clear,11140.96,11100.54,10691.05,107.533,94.198,93.505,49.715,0.885,9.7,25.3,50.6,326.68,3.784,2.58,105.9,No Fault,None,0
2022-01-01 02:09:00,Section_10,Clear,10681.86,10978.48,11171.06,103.504,108.934,96.733,49.868,0.949,44.7,52.1,38.4,471.21,3.402,1.72,36.7,No Fault,None,0
2022-01-01 02:19:00,Section_19,Wind,11061.99,11056.79,11193.05,101.726,103.68,103.824,50.002,0.907,42.4,36.6,16.1,300.23,0.596,0.92,60.8,No Fault,None,0
2022-01-01 02:34:00,Section_20,Clear,11187.51,10823.7,11220.49,95.194,96.981,96.601,49.95,0.865,2.5,46.9,7.7,484.56,0.863,0.94,96.2,No Fault,None,0
2022-01-01 02:57:00,Section_7,Rain,11235.73,10969.94,11203.21,101.368,94.246,99.574,49.946,0.927,33.3,30.0,34.7,482.85,1.193,1.32,64.3,No Fault,None,0
2022-01-01 03:13:00,Section_20,Fog,1132.15,12633.36,12696.56,839.407,102.248,87.232,49.533,0.373,3.4,31.3,77.8,1.01,2.628,19.53,88.2,Single Line to Ground (LG),Low,1
2022-01-01 03:25:00,Section_9,Clear,10983.96,11076.45,10598.24,103.73,114.26,106.728,49.956,0.915,38.1,47.2,38.6,354.45,1.826,0.96,100.3,No Fault,None,0
2022-01-01 03:26:00,Section_7,Clear,10962.39,11054.67,10917.08,101.319,106.015,102.024,49.985,0.86,42.1,27.1,47.8,109.94,4.613,0.79,76.5,No Fault,None,0
2022-01-01 03:43:00,Section_2,Rain,10975.3,11017.5,10915.17,98.564,103.261,94.499,49.918,0.916,27.2,50.1,57.8,195.18,0.583,2.31,87.5,No Fault,None,0
2022-01-01 03:53:00,Section_3,Rain,11329.53,11260.69,11033.61,96.903,82.76,92.832,49.815,0.905,8.5,57.3,47.4,344.8,2.88,1.25,99.3,No Fault,None,0
2022-01-01 04:09:00,Section_20,Storm,10566.13,4003.12,4706.53,104.011,595.131,670.405,49.731,0.642,10.7,23.3,9.3,72.65,4.959,6.49,106.4,Line to Line (LL),Medium,1
2022-01-01 04:18:00,Section_3,Rain,11215.26,11162.76,11055.72,94.741,98.149,94.74,50.116,0.86,26.8,45.5,11.7,141.38,4.442,2.02,24.8,No Fault,None,0
2022-01-01 04:18:00,Section_13,Wind,10685.05,10857.51,11086.05,107.062,105.928,97.835,50.125,0.853,37.4,78.2,39.9,424.42,4.997,1.61,61.6,No Fault,None,0
2022-01-01 04:31:00,Section_12,Storm,1205.84,13017.44,13425.62,827.363,103.257,113.579,50.296,0.311,16.3,85.4,51.5,1.18,4.866,9.51,23.6,Single Line to Ground (LG),Low,1
2022-01-01 04:39:00,Section_5,Storm,10877.72,10810.22,11226.76,97.733,97.326,105.65,49.937,0.931,0.5,31.2,69.5,205.94,4.621,0.92,107.1,No Fault,None,0
2022-01-01 04:43:00,Section_1,Fog,1086.83,13009.42,12899.9,712.585,113.155,118.997,50.01,0.326,24.5,44.6,68.0,2.93,1.32,18.68,56.8,Single Line to Ground (LG),Low,1
2022-01-01 05:01:00,Section_1,Rain,11214.77,11129.38,10922.04,98.495,108.639,102.992,50.032,0.944,8.7,24.5,64.1,351.28,0.699,1.55,56.9,No Fault,None,0
2022-01-01 05:37:00,Section_5,Snow,10946.96,10689.77,11184.44,97.412,101.005,100.257,50.056,0.883,25.5,80.0,47.6,459.19,0.486,0.95,75.0,No Fault,None,0
2022-01-01 05:39:00,Section_10,Fog,426.96,516.32,578.81,1045.572,1028.523,996.998,48.662,0.106,39.6,90.4,72.8,0.84,3.324,33.2,81.4,Three Phase Fault (LLL),Critical,1
2022-01-01 05:59:00,Section_6,Storm,14438.74,14597.69,13821.41,0.155,0.685,3.165,50.715,0.059,19.6,63.8,72.3,2527.16,2.696,18.57,82.2,Open Circuit,Low,1
2022-01-01 06:10:00,Section_17,Storm,10712.23,4514.16,4229.23,88.182,624.766,556.268,49.928,0.548,40.5,91.1,64.8,150.33,4.406,12.24,21.7,Line to Line (LL),Medium,1
2022-01-01 07:04:00,Section_14,Clear,10923.21,10977.09,10886.91,93.423,100.177,105.539,49.871,0.928,41.6,36.0,73.5,426.21,0.239,1.25,68.8,No Fault,None,0
2022-01-01 07:05:00,Section_17,Clear,11279.7,11006.33,11027.97,109.406,102.828,98.953,49.99,0.883,37.6,43.8,66.9,170.5,1.138,2.81,38.0,No Fault,None,0
2022-01-01 07:08:00,Section_3,Rain,1027.08,12988.16,12692.81,785.884,100.293,102.173,49.476,0.495,40.4,84.6,51.9,7.04,2.304,18.64,81.1,Single Line to Ground (LG),Low,1
2022-01-01 07:16:00,Section_3,Snow,10722.08,10775.99,11132.3,92.666,100.19,98.508,50.067,0.955,6.0,77.3,14.4,250.89,2.505,2.41,30.2,No Fault,None,0
2022-01-01 07:25:00,Section_1,Clear,11264.42,11023.0,11236.62,99.869,97.475,100.86,50.062,0.872,5.1,61.3,64.9,372.77,1.937,2.09,42.2,No Fault,None,0
2022-01-01 07:25:00,Section_14,Clear,10618.89,10916.35,11039.22,99.641,102.476,105.0,50.034,0.879,39.2,57.9,42.4,111.08,3.488,1.46,71.7,No Fault,None,0
2022-01-01 07:57:00,Section_1,Rain,11017.64,10870.9,11261.29,106.826,100.768,108.798,49.992,0.917,27.4,29.5,26.6,412.12,0.199,2.58,46.6,No Fault,None,0
2022-01-01 08:04:00,Section_5,Rain,13572.91,1233.3,1130.68,74.944,705.647,730.512,48.872,0.463,39.6,55.0,59.8,4.35,1.279,24.58,25.7,Double Line to Ground (LLG),High,1
2022-01-01 08:05:00,Section_3,Wind,11275.42,10991.07,11027.83,101.405,110.466,93.803,50.05,0.975,35.5,52.5,66.4,291.02,0.646,2.12,63.3,No Fault,None,0
2022-01-01 08:07:00,Section_7,Clear,1104.22,13244.87,12593.99,785.139,106.067,111.071,49.492,0.424,33.0,59.4,74.9,8.35,1.704,12.82,52.6,Single Line to Ground (LG),Low,1
2022-01-01 08:13:00,Section_2,Wind,10851.41,11198.51,10611.37,101.67,101.234,91.589,49.92,0.953,37.2,42.3,31.4,304.19,0.461,1.46,30.7,No Fault,None,0
2022-01-01 08:31:00,Section_12,Clear,10840.24,10924.28,10820.24,99.819,100.009,97.622,49.955,0.883,44.2,64.6,61.0,166.43,4.115,0.99,80.1,No Fault,None,0
2022-01-01 08:39:00,Section_20,Clear,11184.7,11284.95,11117.68,101.026,97.046,95.879,50.088,0.904,25.6,77.5,28.1,277.05,3.188,1.62,38.4,No Fault,None,0
2022-01-01 08:48:00,Section_5,Rain,10977.79,11364.4,11422.77,97.763,99.94,98.018,49.998,0.896,41.3,68.1,51.7,354.71,1.935,1.43,23.5,No Fault,None,0
2022-01-01 09:03:00,Section_19,Clear,14746.38,14791.66,13063.76,1.779,3.293,0.511,50.975,0.181,25.9,65.9,5.6,6488.39,2.196,15.29,78.6,Open Circuit,Low,1
2022-01-01 09:13:00,Section_9,Wind,11383.63,4523.37,4464.19,114.748,666.516,563.029,49.685,0.45,2.4,39.8,17.4,76.63,3.593,13.26,34.3,Line to Line (LL),Medium,1
2022-01-01 09:21:00,Section_12,Clear,546.81,537.93,507.91,871.676,1130.523,976.902,50.668,0.245,25.8,73.8,24.9,1.3,4.895,21.22,33.0,Three Phase Fault (LLL),Critical,1
2022-01-01 09:29:00,Section_1,Clear,13509.12,1126.5,1161.65,88.146,721.358,671.689,49.905,0.462,41.9,40.6,4.0,0.35,2.956,18.03,52.0,Double Line to Ground (LLG),High,1
2022-01-01 09:31:00,Section_13,Wind,1225.49,12100.67,12337.01,901.194,102.32,100.036,49.572,0.565,19.4,84.6,2.8,4.29,2.227,19.46,83.0,Single Line to Ground (LG),Low,1
2022-01-01 09:32:00,Section_16,Rain,498.46,565.14,600.22,925.368,1014.244,1149.786,48.228,0.213,24.2,35.8,41.0,1.74,1.192,28.47,40.3,Three Phase Fault (LLL),Critical,1
2022-01-01 09:49:00,Section_20,Rain,10946.61,10762.34,10985.65,102.302,92.34,96.825,50.254,0.904,42.5,85.8,9.5,257.52,3.296,2.25,20.6,No Fault,None,0
2022-01-01 09:54:00,Section_14,Clear,11065.85,10882.51,11438.66,113.094,98.678,104.365,50.092,0.856,-1.6,44.2,63.4,394.6,2.516,2.57,82.5,No Fault,None,0
2022-01-01 09:58:00,Section_16,Clear,11084.4,11000.41,10972.06,101.392,94.071,90.144,49.979,0.951,-4.3,79.2,40.2,438.76,1.11,2.72,64.9,No Fault,None,0
2022-01-01 09:59:00,Section_2,Rain,10823.91,10955.27,11234.19,90.579,99.53,102.877,50.265,0.92,22.5,71.0,16.8,437.41,4.632,1.29,86.3,No Fault,None,0
2022-01-01 10:01:00,Section_20,Clear,11006.82,10998.98,11020.59,94.72,98.855,93.779,49.938,0.971,26.9,47.2,12.3,247.3,4.68,0.6,77.4,No Fault,None,0
2022-01-01 10:14:00,Section_9,Clear,11239.18,11024.47,11129.9,92.399,104.333,94.359,50.098,0.855,22.5,78.0,56.2,392.34,1.808,1.28,87.3,No Fault,None,0
2022-01-01 10:25:00,Section_14,Clear,11053.82,4538.89,4547.27,104.095,582.935,639.518,49.999,0.461,30.3,20.6,36.0,83.72,2.497,11.79,44.5,Line to Line (LL),Medium,1
2022-01-01 10:26:00,Section_17,Clear,10969.14,10761.78,11031.8,105.926,95.098,101.193,50.1,0.86,20.2,57.0,79.3,371.5,3.218,2.74,92.5,No Fault,None,0
2022-01-01 11:02:00,Section_17,Rain,10759.42,11126.28,11189.91,93.813,88.656,94.79,49.99,0.941,16.9,69.2,37.6,171.13,2.542,1.76,46.6,No Fault,None,0
2022-01-01 11:12:00,Section_18,Rain,11201.96,10620.36,10890.06,91.494,111.504,98.222,49.979,0.868,0.0,70.8,63.4,294.53,1.456,2.61,80.1,No Fault,None,0
2022-01-01 11:14:00,Section_7,Clear,11227.06,11203.97,10953.52,104.475,101.363,92.03,49.982,0.965,8.3,38.8,18.9,312.82,4.163,1.59,108.7,No Fault,None,0
2022-01-01 11:21:00,Section_14,Storm,10855.55,4235.38,4413.63,105.232,613.933,607.427,49.924,0.527,27.8,73.2,57.8,143.08,2.859,6.12,83.0,Line to Line (LL),Medium,1
2022-01-01 11:26:00,Section_16,Wind,10831.14,11060.98,11050.23,104.076,95.633,106.332,50.001,0.938,27.2,32.4,76.0,480.87,4.922,2.79,29.3,No Fault,None,0
2022-01-01 11:34:00,Section_10,Fog,14719.69,15279.33,13291.31,1.08,0.088,0.354,49.318,0.081,-1.0,40.6,37.0,9527.33,4.772,25.43,71.2,Open Circuit,Low,1
2022-01-01 11:48:00,Section_3,Clear,10835.23,4452.34,4421.62,110.455,595.852,632.044,49.737,0.436,17.0,68.7,19.5,90.81,2.503,6.61,61.3,Line to Line (LL),Medium,1
2022-01-01 11:48:00,Section_5,Fog,11393.46,10731.65,11028.43,89.054,102.739,103.28,49.837,0.869,28.0,42.7,50.1,460.26,3.047,2.84,55.2,No Fault,None,0
2022-01-01 11:48:00,Section_1,Fog,10835.62,10894.52,11126.62,94.154,98.671,104.459,49.858,0.892,26.9,88.4,56.0,196.67,0.908,2.16,87.6,No Fault,None,0
2022-01-01 11:56:00,Section_6,Rain,10850.0,4447.63,4140.94,90.414,596.528,557.561,49.545,0.592,33.6,35.4,64.4,99.9,4.176,10.45,109.0,Line to Line (LL),Medium,1
2022-01-01 12:01:00,Section_3,Clear,893.44,12381.94,12557.5,807.048,98.99,97.184,49.528,0.491,17.8,28.6,19.8,2.77,1.177,15.82,34.8,Single Line to Ground (LG),Low,1
2022-01-01 12:05:00,Section_15,Storm,1134.39,12832.17,12637.32,849.354,104.644,100.315,49.812,0.371,42.9,68.8,62.0,9.29,4.464,16.39,88.3,Single Line to Ground (LG),Low,1
2022-01-01 12:31:00,Section_8,Rain,10654.19,4914.34,4505.63,106.279,598.852,508.097,49.747,0.462,11.6,60.9,66.5,87.53,1.372,13.95,31.1,Line to Line (LL),Medium,1
2022-01-01 12:34:00,Section_19,Rain,11015.19,11019.91,11043.61,102.175,97.803,102.646,50.045,0.886,14.5,25.2,10.9,279.43,3.026,2.23,53.8,No Fault,None,0
2022-01-01 12:36:00,Section_1,Fog,10654.28,10845.37,10925.06,108.912,100.131,98.93,49.906,0.891,10.5,37.3,58.4,131.23,1.077,2.7,41.6,No Fault,None,0
2022-01-01 12:39:00,Section_8,Clear,11104.39,11036.67,11181.34,100.983,89.047,103.799,49.865,0.93,18.0,34.6,24.6,132.08,4.344,2.78,54.5,No Fault,None,0
2022-01-01 13:26:00,Section_17,Rain,13451.87,1108.71,1232.6,91.449,747.309,629.321,49.813,0.289,14.0,31.1,67.6,1.5,4.633,12.86,80.2,Double Line to Ground (LLG),High,1
2022-01-01 13:33:00,Section_1,Clear,1079.76,12561.69,12428.81,699.68,107.707,100.788,49.647,0.398,21.2,48.1,42.9,6.61,4.282,9.26,107.5,Single Line to Ground (LG),Low,1
2022-01-01 13:49:00,Section_18,Rain,11160.8,11152.53,10815.4,100.332,95.492,102.138,50.082,0.935,42.0,60.9,54.2,225.73,1.432,2.43,107.4,No Fault,None,0
2022-01-01 13:52:00,Section_3,Rain,10799.0,11113.69,10933.59,100.9,101.754,99.087,50.135,0.97,-3.3,60.6,67.3,397.06,4.317,1.32,95.2,No Fault,None,0
2022-01-01 14:20:00,Section_5,Clear,10927.1,10718.41,11314.51,105.341,106.245,94.637,50.144,0.936,38.7,38.0,59.6,341.35,0.965,0.92,79.5,No Fault,None,0
2022-01-01 14:40:00,Section_8,Clear,11393.37,10880.53,11063.26,100.91,102.315,91.04,49.985,0.957,39.9,84.6,18.1,395.38,4.406,2.06,53.7,No Fault,None,0
2022-01-01 14:44:00,Section_17,Storm,1142.73,12631.48,12419.3,855.974,105.59,121.03,49.858,0.468,12.6,21.5,78.5,2.29,4.32,18.61,76.0,Single Line to Ground (LG),Low,1
2022-01-01 14:44:00,Section_4,Rain,1160.99,13289.78,12410.49,847.335,106.836,119.793,49.912,0.543,38.7,32.7,75.8,7.23,1.1,19.46,109.2,Single Line to Ground (LG),Low,1
2022-01-01 14:49:00,Section_6,Fog,13568.51,1245.44,1018.06,76.077,804.117,582.477,49.466,0.479,37.6,71.0,7.6,2.41,2.755,14.77,96.7,Double Line to Ground (LLG),High,1
2022-01-01 15:09:00,Section_4,Rain,11029.91,10973.12,10860.94,101.87,101.593,96.379,50.103,0.916,24.7,74.0,68.0,396.51,0.647,0.88,49.7,No Fault,None,0
2022-01-01 15:17:00,Section_5,Rain,11369.51,11076.55,10816.47,104.278,101.148,100.294,50.098,0.852,14.5,23.3,29.0,478.38,0.118,1.96,49.2,No Fault,None,0
2022-01-01 15:58:00,Section_13,Storm,838.72,12248.67,12708.15,815.863,114.408,103.724,49.609,0.535,17.9,95.0,64.9,9.52,4.173,8.01,75.9,Single Line to Ground (LG),Low,1
2022-01-01 16:06:00,Section_19,Rain,11267.37,4524.29,4454.92,94.187,558.688,552.36,49.879,0.564,38.7,37.6,56.4,170.71,1.285,10.08,23.6,Line to Line (LL),Medium,1
2022-01-01 16:14:00,Section_19,Snow,1149.83,12631.94,12100.55,801.579,112.248,100.702,49.917,0.328,17.3,37.9,64.2,6.98,2.771,18.15,37.8,Single Line to Ground (LG),Low,1
2022-01-01 16:46:00,Section_6,Rain,10825.44,4364.51,4109.12,110.408,596.121,602.186,49.633,0.414,17.6,59.3,21.7,138.32,3.708,13.22,52.5,Line to Line (LL),Medium,1
2022-01-01 16:47:00,Section_7,Clear,10944.52,10963.85,10790.57,98.922,101.748,113.878,49.789,0.978,12.3,57.6,17.4,126.25,0.885,2.17,41.9,No Fault,None,0
2022-01-01 16:56:00,Section_12,Rain,10965.56,10933.46,11211.41,106.641,102.132,98.82,50.026,0.932,31.8,70.1,61.7,441.07,3.335,1.51,27.2,No Fault,None,0
2022-01-01 16:56:00,Section_19,Rain,11161.01,11060.29,10971.59,99.235,92.376,96.554,49.976,0.874,38.7,58.7,52.2,214.67,2.187,1.66,98.3,No Fault,None,0
2022-01-01 16:59:00,Section_9,Rain,10867.67,11052.57,11259.1,99.555,102.234,101.288,49.99,0.914,40.0,89.1,48.6,144.14,2.723,2.2,109.5,No Fault,None,0
2022-01-01 17:03:00,Section_1,Wind,10990.64,11147.03,11027.32,98.817,102.341,99.824,49.972,0.962,2.8,28.1,76.4,434.45,2.165,2.01,78.3,No Fault,None,0
2022-01-01 17:05:00,Section_17,Storm,10899.48,11556.01,10835.57,106.432,98.856,100.301,49.987,0.919,17.9,76.0,1.4,194.49,2.029,1.26,70.1,No Fault,None,0
2022-01-01 17:06:00,Section_9,Rain,1142.57,13294.53,12835.09,731.95,113.381,92.496,49.489,0.312,-4.8,23.3,10.2,1.93,2.159,17.82,50.0,Single Line to Ground (LG),Low,1
2022-01-01 17:29:00,Section_7,Clear,10850.77,11163.63,11233.44,93.796,101.353,90.799,50.027,0.904,31.9,72.2,30.0,239.16,3.901,2.44,106.2,No Fault,None,0
2022-01-01 17:35:00,Section_7,Clear,11432.42,10836.88,11334.69,102.343,106.356,101.854,50.066,0.95,19.3,24.2,35.8,366.97,3.61,0.73,57.9,No Fault,None,0
2022-01-01 17:37:00,Section_16,Storm,13449.09,1157.67,1207.26,86.175,812.025,574.321,49.101,0.408,20.8,31.1,5.4,1.03,0.771,20.93,32.3,Double Line to Ground (LLG),High,1
2022-01-01 17:38:00,Section_15,Clear,10859.87,11180.76,10898.49,102.472,90.865,100.711,50.009,0.904,9.4,79.0,54.9,142.33,1.124,1.03,95.5,No Fault,None,0
2022-01-01 17:55:00,Section_6,Storm,10867.49,10918.6,10956.0,95.64,105.269,98.989,50.076,0.952,28.5,74.5,76.8,207.66,4.265,1.17,94.0,No Fault,None,0
2022-01-01 18:09:00,Section_6,Rain,10580.02,4258.36,4471.4,84.195,562.924,623.958,49.806,0.413,34.4,62.5,73.6,156.33,0.759,13.33,42.1,Line to Line (LL),Medium,1
2022-01-01 18:11:00,Section_19,Snow,10788.63,10919.44,10878.72,108.008,94.765,105.187,49.973,0.879,12.1,24.0,71.4,331.61,0.777,1.14,51.4,No Fault,None,0
2022-01-01 18:30:00,Section_3,Clear,10958.71,11263.43,10883.33,88.108,98.328,104.037,50.163,0.86,19.2,51.8,12.0,225.08,4.211,2.95,32.0,No Fault,None,0
2022-01-01 18:41:00,Section_18,Rain,10971.09,10812.84,11067.75,99.777,99.765,94.587,50.064,0.901,23.2,55.2,29.9,359.39,2.734,1.35,54.5,No Fault,None,0
2022-01-01 18:59:00,Section_16,Rain,10810.41,10995.64,11280.21,99.164,101.216,98.659,49.913,0.874,38.4,62.6,39.8,257.25,3.96,1.02,31.7,No Fault,None,0
2022-01-01 19:02:00,Section_11,Clear,547.29,607.88,561.92,978.286,1183.401,931.225,48.345,0.287,12.1,54.8,71.3,0.47,4.048,36.62,105.7,Three Phase Fault (LLL),Critical,1
2022-01-01 19:09:00,Section_14,Snow,11274.94,4199.91,4321.7,99.852,635.531,612.823,49.908,0.619,1.0,92.6,14.5,148.21,0.22,13.31,67.8,Line to Line (LL),Medium,1
2022-01-01 19:10:00,Section_15,Storm,1201.17,12947.19,13011.74,761.815,103.508,110.924,50.151,0.559,1.1,20.3,39.4,9.01,2.238,8.38,69.1,Single Line to Ground (LG),Low,1
2022-01-01 19:43:00,Section_18,Clear,12596.55,995.27,1243.3,75.303,621.912,790.722,48.927,0.347,5.4,66.9,8.8,3.11,2.457,19.03,84.8,Double Line to Ground (LLG),High,1
2022-01-01 20:06:00,Section_12,Wind,11488.34,4464.86,4591.17,76.468,625.452,619.311,49.728,0.466,26.2,81.4,41.5,114.17,0.325,8.46,104.6,Line to Line (LL),Medium,1
2022-01-01 20:20:00,Section_8,Rain,11379.11,11099.7,10950.52,98.244,106.327,93.9,50.078,0.919,-0.3,40.1,3.8,354.15,0.443,1.07,34.1,No Fault,None,0
2022-01-01 20:23:00,Section_16,Storm,13007.85,1034.9,1111.78,86.795,796.646,582.608,48.524,0.532,41.8,83.9,76.4,3.68,0.571,16.39,106.0,Double Line to Ground (LLG),High,1
2022-01-01 20:31:00,Section_18,Clear,11326.02,11395.03,11098.37,97.762,98.209,99.282,49.922,0.879,31.7,58.8,59.5,132.65,3.096,2.89,36.0,No Fault,None,0
2022-01-01 20:48:00,Section_15,Storm,11431.71,4612.16,4248.04,88.909,657.093,535.028,49.874,0.487,38.5,75.3,15.5,153.77,3.687,14.4,77.2,Line to Line (LL),Medium,1
2022-01-01 20:58:00,Section_5,Storm,12972.59,1147.29,1134.95,90.491,617.763,647.221,48.985,0.406,32.9,65.4,77.6,2.23,3.717,19.81,108.7,Double Line to Ground (LLG),High,1
2022-01-01 21:05:00,Section_16,Wind,11011.03,11339.04,11309.84,97.075,105.544,106.147,50.065,0.88,9.6,94.1,62.8,325.96,1.674,2.01,52.3,No Fault,None,0
2022-01-01 21:09:00,Section_1,Rain,11077.52,10584.91,10904.86,101.872,102.275,104.253,49.961,0.969,33.5,44.0,42.2,320.98,0.323,0.9,65.0,No Fault,None,0
2022-01-01 21:09:00,Section_15,Clear,11303.72,10804.56,11023.34,97.856,97.209,101.887,49.958,0.922,-1.4,84.9,48.8,234.94,4.916,1.11,96.5,No Fault,None,0
2022-01-01 21:18:00,Section_17,Rain,11370.4,11053.01,11200.27,100.232,94.829,99.554,50.115,0.872,45.0,73.3,71.0,249.28,0.317,2.97,44.8,No Fault,None,0
2022-01-01 21:21:00,Section_14,Clear,10768.74,4353.39,4363.67,100.064,625.863,583.792,49.94,0.547,18.6,39.9,26.9,137.91,3.034,6.01,98.7,Line to Line (LL),Medium,1
2022-01-01 21:36:00,Section_9,Clear,12986.6,1155.17,1034.52,78.675,679.31,718.252,49.002,0.299,-2.9,81.9,62.4,2.42,1.462,17.37,75.3,Double Line to Ground (LLG),High,1
2022-01-01 22:03:00,Section_9,Rain,11252.82,10871.04,10885.64,101.344,98.315,101.809,50.055,0.874,36.9,33.3,27.1,148.96,1.503,1.34,52.0,No Fault,None,0
2022-01-01 22:11:00,Section_10,Rain,10847.36,10859.39,11318.71,103.455,106.387,95.249,49.805,0.941,41.7,73.8,79.1,313.9,3.023,2.67,23.6,No Fault,None,0
2022-01-01 22:23:00,Section_1,Fog,10686.09,11005.64,10975.0,89.535,94.813,94.416,49.842,0.872,36.6,86.2,60.1,406.22,2.044,1.49,84.9,No Fault,None,0
2022-01-01 22:31:00,Section_7,Rain,10855.03,11088.47,10810.67,108.61,94.802,101.918,50.156,0.934,18.0,52.1,32.8,185.41,1.624,1.98,47.5,No Fault,None,0
2022-01-01 22:43:00,Section_12,Wind,11104.17,11359.94,11231.03,101.17,100.048,96.968,50.039,0.861,2.6,23.2,40.2,342.8,3.702,1.77,36.0,No Fault,None,0
2022-01-01 22:51:00,Section_7,Clear,10958.24,11090.99,11375.31,106.905,94.031,99.046,49.864,0.921,32.0,69.2,51.2,283.48,4.47,1.49,109.4,No Fault,None,0
2022-01-01 22:53:00,Section_9,Clear,453.98,592.53,525.42,1030.648,1240.789,1126.829,48.397,0.237,32.3,77.9,11.1,0.65,2.053,36.6,68.4,Three Phase Fault (LLL),Critical,1
2022-01-01 22:55:00,Section_10,Clear,11284.33,10936.76,10819.34,103.311,106.889,96.941,49.891,0.869,-4.0,27.7,18.3,314.45,3.599,2.55,100.5,No Fault,None,0
2022-01-01 23:49:00,Section_19,Wind,11032.28,11327.37,11053.95,97.911,98.524,96.178,49.898,0.893,37.3,84.4,39.3,407.67,0.62,0.93,71.8,No Fault,None,0
2022-01-01 23:49:00,Section_7,Storm,961.07,12480.77,12907.98,824.159,109.224,97.615,49.281,0.331,40.6,93.0,21.6,0.79,1.089,16.47,70.4,Single Line to Ground (LG),Low,1
2022-01-02 00:24:00,Section_17,Fog,10871.96,10812.33,11079.87,102.169,99.783,104.838,50.149,0.881,34.9,78.2,24.1,429.24,3.667,0.54,39.3,No Fault,None,0
2022-01-02 00:27:00,Section_19,Clear,14476.53,15159.74,14626.74,0.162,2.681,0.327,51.005,0.175,38.5,83.5,69.7,4906.09,1.176,30.91,59.5,Open Circuit,Low,1
2022-01-02 00:43:00,Section_16,Storm,14087.44,14083.47,14587.72,0.03,2.166,0.563,50.248,0.123,-1.8,31.9,30.5,1555.5,2.833,30.73,99.3,Open Circuit,Low,1
